sku,type,variant key,Product name,Product description,Product key,category,Product price mode,brand,Premium Wet Pet Food,Premium Dry Pet Food,weight,price EUR,price PLN, price GBP,url
D-D-DT-PH3,DTD005,pet-toys,dog_toys,Pets at Home Play Time Snuffle Ball Dog Toy,dog_toys_005,Dog>Toys,Pets at Home,One size,"EUR",8,"PLN",35,"GBP",7,dog_toys5

D-C-DC-SD1,DCD001,pet-clothing,dog_clothing,Sunny Daze Elastofit Dog Cooling Vest Blue Large,dog_clothing_001,Dog>Coats and Clothing,Sunny Daze,Large,"EUR",24,"PLN",100,"GBP",20,dog_clothing1
D-C-DC-PH1,DCD002,pet-clothing,dog_clothing,Pets at Home Ripstop Reflective Trim Dog Coat Charcoal Medium,dog_clothing_002,Dog>Coats and Clothing,Pets at Home,Medium,"EUR",20,"PLN",85,"GBP",17,dog_clothing2
D-C-DC-PH2,DCD003,pet-clothing,dog_clothing,Pets at Home Printed Transpawrent Flower Dog Raincoat Yellow Small,dog_clothing_003,Dog>Coats and Clothing,Pets at Home,Small,"EUR",14,"PLN",60,"GBP",12,dog_clothing3
D-C-DC-PK1,DCD004,pet-clothing,dog_clothing,3 Peaks Waterproof Dog Terrain Suit Green Large,dog_clothing_004,Dog>Coats and Clothing,3 Peaks,Large,"EUR",35,"PLN",150,"GBP",30,dog_clothing4
D-C-DC-PH3,DCD005,pet-clothing,dog_clothing,Pets at Home Quilted Plaid Dog Jacket Pink,dog_clothing_005,Dog>Coats and Clothing,Pets at Home,Small,"EUR",14,"PLN",60,"GBP",12,dog_clothing5

//Cat
K-F-DF-HL1,KFD001,"pet-food",cat_food_dry,Hill's Prescription Diet Dental Care Adult Dry Cat Food with Chicken 3kg,cat_food_dry_001,Cat>Food>Dry Food,Hill's,3,"EUR",36,"PLN",155,"GBP",31,cat_food_dry1
K-F-DF-HL2,KFD002,"pet-food",cat_food_dry,Hill's Science Plan Sensitive Stomach & Skin Adult Dry Cat Food Chicken 1.5kg,cat_food_dry_002,Cat>Food>Dry Food,Hill's,1.5,"EUR",24,"PLN",100,"GBP",20,cat_food_dry2
K-F-DF-RC1,KFD003,"pet-food",cat_food_dry,Royal Canin British Shorthair Adult Dry Cat Food 4kg,cat_food_dry_003,Cat>Food>Dry Food,Royal Canin,4,"EUR",46,"PLN",195,"GBP",39,cat_food_dry3
K-F-DF-PP1,KFD004,"pet-food",cat_food_dry,Pro Plan Vet Diet UR Urinary Dry Cat Food Chicken 5kg,cat_food_dry_004,Cat>Food>Dry Food,Pro Plan,5,"EUR",39,"PLN",165,"GBP",33,cat_food_dry4
K-F-DF-RC2,KFD005,"pet-food",cat_food_dry,Royal Canin Feline Hairball Adult Dry Cat Food 4kg,cat_food_dry_005,Cat>Food>Dry Food,Royal Canin,4,"EUR",46,"PLN",195,"GBP",39,cat_food_dry5
K-F-DF-RC3,KFD006,"pet-food",cat_food_dry,Royal Canin Feline Indoor Adult Dry Cat Food 4kg,cat_food_dry_006,Cat>Food>Dry Food,Royal Canin,4,"EUR",46,"PLN",195,"GBP",39,cat_food_dry6
K-F-DF-RC4,KFD007,"pet-food",cat_food_dry,Royal Canin Feline Light Weight Adult Dry Cat Food 8kg,cat_food_dry_007,Cat>Food>Dry Food,Royal Canin,8,"EUR",70,"PLN",300,"GBP",60,cat_food_dry7
K-F-DF-RC5,KFD008,"pet-food",cat_food_dry,Royal Canin Feline Ageing 12+ Dry Senior Cat Food 4kg,cat_food_dry_008,Cat>Food>Dry Food,Royal Canin,4,"EUR",46,"PLN",195,"GBP",39,cat_food_dry8
K-F-DF-RC6,KFD009,"pet-food",cat_food_dry,Royal Canin Veterinary Renal Adult Dry Cat Food 4kg,cat_food_dry_009,Cat>Food>Dry Food,Royal Canin,4,"EUR",50,"PLN",210,"GBP",42,cat_food_dry9
K-F-DF-RC5,KFD008,"pet-food",cat_food_dry,Royal Canin Feline Ageing 12+ Dry Senior Cat Food 4kg,cat_food_dry_008,Cat>Food>Dry Food,Royal Canin,4,"EUR",46,"PLN",195,"GBP",39,cat_food_dry8
K-F-DF-RC7,KFD010,"pet-food",cat_food_dry,Royal Canin Veterinary Satiety Adult Dry Cat Food 6kg,cat_food_dry_010,Cat>Food>Dry Food,Royal Canin,6,"EUR",63,"PLN",265,"GBP",53,cat_food_dry9

K-F-WF-SG1,KFW001,"pet-food",cat_food_wet,Seriously Good Wet Adult Cat Food Chicken a la Carte Jelly 12 Pack,cat_food_wet_001,Cat>Food>Wet Food,Seriously Good,0.84,"EUR",12,"PLN",50,"GBP",10,cat_food_wet1
K-F-WF-SG2,KFW002,"pet-food",cat_food_wet,Seriously Good Wet Kitten Food Chicken Breast Shreds 12x70g,cat_food_wet_002,Cat>Food>Wet Food,Seriously Good,0.84,"EUR",12,"PLN",50,"GBP",10,cat_food_wet2
K-F-WF-RC1,KFW003,"pet-food",cat_food_wet,Royal Canin Veterinary Renal Adult Wet Cat Food 48x85g,cat_food_wet_003,Cat>Food>Wet Food,Royal Canin,4.08,"EUR",70,"PLN",295,"GBP",59,cat_food_wet3
K-F-WF-RC2,KFW004,"pet-food",cat_food_wet,Royal Canin Feline Instinctive Adult Wet Cat Food In Gravy 48x85g,cat_food_wet_004,Cat>Food>Wet Food,Royal Canin,4.08,"EUR",58,"PLN",246,"GBP",49,cat_food_wet4
K-F-WF-RC3,KFW005,"pet-food",cat_food_wet,Royal Canin Veterinary Satiety Adult Wet Cat Food 48x85g,cat_food_wet_005,Cat>Food>Wet Food,Royal Canin,4.08,"EUR",64,"PLN",270,"GBP",54,cat_food_wet5
K-F-WF-RC4,KFW006,"pet-food",cat_food_wet,Royal Canin Ageing 12+ Senior Wet Cat Food In Gravy 48x85g,cat_food_wet_006,Cat>Food>Wet Food,Royal Canin,4.08,"EUR",70,"PLN",295,"GBP",59,cat_food_wet6
